,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,ClusterLabel,sil_width
0,2020-9-2-17,Format1,300,250,75000,Inter222,Video,Desktop,Display,1806,325,323,1,0.0,0.35,0.0,0.0031,0.0,0.0,3,0.06640826349624272
1,2020-9-2-10,Format1,300,250,75000,Inter227,App,Mobile,Video,1780,285,285,1,0.0,0.35,0.0,0.0035,0.0,0.0,3,0.06617669862497229
2,2020-9-1-22,Format1,300,250,75000,Inter222,Video,Desktop,Display,2727,356,355,1,0.0,0.35,0.0,0.0028,0.0,0.0,3,0.06661304388023859
3,2020-9-3-20,Format1,300,250,75000,Inter228,Video,Mobile,Video,2430,497,495,1,0.0,0.35,0.0,0.002,0.0,0.0,3,0.06706320954059006
4,2020-9-4-15,Format1,300,250,75000,Inter217,Web,Desktop,Video,1218,242,242,1,0.0,0.35,0.0,0.0041,0.0,0.0,3,0.06580745774864426
5,2020-9-4-5,Format1,300,250,75000,Inter219,Video,Desktop,Display,490,64,64,2,0.0,0.35,0.0,0.0313,0.01,0.0,3,0.048453524762021825
6,2020-9-4-6,Format1,300,250,75000,Inter221,App,Mobile,Video,1197,202,202,1,0.01,0.35,0.0,0.005,0.03,0.01,3,0.06877987784286484
7,2020-9-6-7,Format1,300,250,75000,Inter228,Video,Mobile,Video,1363,198,196,1,0.0,0.35,0.0,0.0051,0.0,0.0,3,0.06522524843465778
8,2020-9-8-6,Format1,300,250,75000,Inter223,Web,Mobile,Video,1402,137,136,1,0.0,0.35,0.0,0.0074,0.02,0.0,3,0.06342432139738083
9,2020-9-11-17,Format1,300,250,75000,Inter228,Video,Mobile,Display,1816,312,311,1,0.0,0.35,0.0,0.0032,0.0,0.0,3,0.0663507987738967
10,2020-9-12-7,Format1,300,250,75000,Inter225,Video,Mobile,Display,1644,255,255,1,0.0,0.35,0.0,0.0039,0.0,0.0,3,0.06593945027758606
11,2020-9-15-18,Format1,300,250,75000,Inter227,App,Mobile,Display,1935,441,439,1,0.0,0.35,0.0,0.0023,0.0,0.0,3,0.06687309230807187
12,2020-9-16-19,Format1,300,250,75000,Inter229,Video,Desktop,Video,2156,436,431,1,0.0,0.35,0.0,0.0023,0.0,0.0,3,0.06688005239749498
13,2020-9-14-1,Format1,300,250,75000,Inter224,Web,Desktop,Display,881,118,116,1,0.0,0.35,0.0,0.0086,0.0,0.0,3,0.06311125337804847
14,2020-9-17-0,Format1,300,250,75000,Inter227,App,Mobile,Video,967,181,178,1,0.0,0.35,0.0,0.0056,0.0,0.0,3,0.06491452750804842
15,2020-9-15-22,Format1,300,250,75000,inter230,Video,Mobile,Video,1787,427,426,1,0.0,0.35,0.0,0.0023,0.0,0.0,3,0.06686578210588573
16,2020-9-20-18,Format1,300,250,75000,Inter226,Web,Mobile,Video,1467,307,303,2,0.0,0.35,0.0,0.0066,0.0,0.0,3,0.0643613143791147
17,2020-9-28-9,Format1,300,250,75000,Inter219,Video,Desktop,Display,2027,369,364,1,0.0,0.35,0.0,0.0027,0.0,0.0,3,0.06664504143481663
18,2020-9-28-8,Format6,336,250,84000,inter230,Video,Mobile,Video,2070,308,308,1,0.0,0.35,0.0,0.0032,0.0,0.0,3,0.03762026589160825
19,2020-9-28-13,Format1,300,250,75000,Inter225,Video,Mobile,Display,1848,244,239,1,0.0,0.35,0.0,0.0042,0.0,0.0,3,0.0657725409171622
20,2020-10-2-20,Format1,300,250,75000,Inter220,Web,Mobile,Display,2203,345,343,1,0.0,0.35,0.0,0.0029,0.01,0.0,3,0.06632382957303955
21,2020-10-1-0,Format1,300,250,75000,Inter229,Video,Desktop,Video,1126,167,162,1,0.0,0.35,0.0,0.0062,0.0,0.0,3,0.06456375459147315
22,2020-9-30-20,Format1,300,250,75000,Inter217,Web,Desktop,Display,1828,278,273,1,0.0,0.35,0.0,0.0037,0.0,0.0,3,0.06606345341937882
23,2020-9-30-21,Format1,300,250,75000,Inter219,Video,Desktop,Display,1958,302,295,1,0.0,0.35,0.0,0.0034,0.0,0.0,3,0.0662415020780601
24,2020-9-30-19,Format1,300,250,75000,Inter227,App,Mobile,Display,2205,309,303,1,0.0,0.35,0.0,0.0033,0.0,0.0,3,0.0663077801390253
25,2020-9-16-23,Format6,336,250,84000,Inter227,App,Mobile,Video,1120,192,192,1,0.0,0.35,0.0,0.0052,0.0,0.0,3,0.036436059602585225
26,2020-10-7-19,Format1,300,250,75000,Inter217,Web,Desktop,Display,1400,233,233,1,0.0,0.35,0.0,0.0043,0.0,0.0,3,0.06569751188699029
27,2020-10-8-12,Format1,300,250,75000,Inter219,Video,Desktop,Video,1493,236,234,1,0.0,0.35,0.0,0.0043,0.0,0.0,3,0.06570115193953893
28,2020-10-6-13,Format6,336,250,84000,Inter220,Web,Mobile,Display,1945,341,340,1,0.0,0.35,0.0,0.0029,0.0,0.0,3,0.03778975087588671
29,2020-10-4-23,Format1,300,250,75000,Inter217,Web,Desktop,Video,1413,292,288,1,0.0,0.35,0.0,0.0035,0.0,0.0,3,0.0661642241261268
30,2020-10-6-23,Format1,300,250,75000,Inter225,Video,Mobile,Video,1768,367,364,1,0.0,0.35,0.0,0.0027,0.0,0.0,3,0.06663559216128083
31,2020-10-4-22,Format6,336,250,84000,Inter222,Video,Desktop,Display,1804,352,343,1,0.0,0.35,0.0,0.0029,0.01,0.0,3,0.03757550687998462
32,2020-10-2-8,Format1,300,250,75000,Inter221,App,Mobile,Video,1622,204,200,1,0.0,0.35,0.0,0.005,0.0,0.0,3,0.06529388502333268
